model,skew_level,T,Clean,Failed,Problematic,Total
NG,moderateSN,50,2400,0,0,2400
NG,moderateSN,100,2400,0,0,2400
NG,moderateSN,200,2400,0,0,2400
NG,strongSN,50,2400,0,0,2400
NG,strongSN,100,2400,0,0,2400
NG,strongSN,200,2400,0,0,2400
NG,extremeCHI,50,2400,0,0,2400
NG,extremeCHI,100,2400,0,0,2400
NG,extremeCHI,200,2400,0,0,2400
SG,moderateSN,50,1700,0,700,2400
SG,moderateSN,100,2116,0,284,2400
SG,moderateSN,200,2327,0,73,2400
SG,strongSN,50,744,0,1656,2400
SG,strongSN,100,997,0,1403,2400
SG,strongSN,200,1927,0,473,2400
SG,extremeCHI,50,0,0,2400,2400
SG,extremeCHI,100,0,1,2399,2400
SG,extremeCHI,200,0,0,2400,2400
