Model,theta,T,mean_tau_bias
NG (Gaussian copula),0.5,50,-0.028348720238262706
NG (Gaussian copula),0.5,100,-0.012950183632546755
NG (Gaussian copula),0.5,200,4.4032352601309734e-4
NG (Gaussian copula),1,50,-0.042833899960531066
NG (Gaussian copula),1,100,-0.021972150445088465
NG (Gaussian copula),1,200,-0.01254737740779252
NG (Gaussian copula),2,50,-0.05242955533179148
NG (Gaussian copula),2,100,-0.03705911838924556
NG (Gaussian copula),2,200,-0.03020156238312683
NG (Gaussian copula),4,50,-0.08320793523233698
NG (Gaussian copula),4,100,-0.05886176600529316
NG (Gaussian copula),4,200,-0.05084152442094501
NG (Gaussian copula),8,50,-0.08399493274768012
NG (Gaussian copula),8,100,-0.07197398068192248
NG (Gaussian copula),8,200,-0.06704440603821617
NC (Clayton copula),0.5,50,0.015796424386828618
NC (Clayton copula),0.5,100,0.007312962836404781
NC (Clayton copula),0.5,200,0.00507308471526422
NC (Clayton copula),1,50,-0.010250987692803715
NC (Clayton copula),1,100,-0.00907987972234631
NC (Clayton copula),1,200,-0.0028845824168282244
NC (Clayton copula),2,50,-0.00942198462513538
NC (Clayton copula),2,100,-0.0067367375142341306
NC (Clayton copula),2,200,-0.00403340454499642
NC (Clayton copula),4,50,-0.02095021439041359
NC (Clayton copula),4,100,-0.00640064692412586
NC (Clayton copula),4,200,-0.003071257587244103
NC (Clayton copula),8,50,-0.0164816250043725
NC (Clayton copula),8,100,-0.007964585342722602
NC (Clayton copula),8,200,-0.004559489957865991
