condition_id,model,T,tvp_pattern,N,sigma_z_mean,sigma_z_median,sigma_z_sd,prop_sigma_z_gt_0.01,prop_sigma_z_gt_0.02
1,TVP_NG,100,constant,200,0.044740004986970595,0.040794638099361166,0.013919296094532737,0.01,0.005
2,TVP_NG,200,constant,200,0.025298301020217157,0.023113488917368676,0.008579210054576479,0.005,0
3,TVP_NG,100,linear,200,0.04848839061535789,0.04539493153874599,0.013902887294795474,0.065,0.02
4,TVP_NG,200,linear,200,0.03607708685015381,0.033988475997275405,0.011165907898188531,0.205,0.015
5,TVP_NG,100,step,200,0.07032096304665232,0.06846774402786523,0.0221986320124759,0.485,0.335
6,TVP_NG,200,step,200,0.05659798888422015,0.055715405037870674,0.014881206393289942,0.855,0.515
7,TVP_NG,100,random_walk,200,0.05788501082879844,0.05046273306820324,0.023617148095165377,0.21,0.12
8,TVP_NG,200,random_walk,200,0.05580546469759972,0.05581391721928714,0.019472032626083578,0.635,0.445
9,TVP_EG,100,constant,200,0.047589367933976764,0.04548526861985649,0.012841517235257638,0.015,0.005
9,TVP_NG,100,constant,200,0.07792393813927646,0.06891491848043409,0.03483386948777992,0.215,0.135
10,TVP_EG,200,constant,200,0.027114676879891202,0.02506698809703908,0.009311522203724441,0.015,0
10,TVP_NG,200,constant,200,0.06938922529723861,0.05880999074239392,0.042019318617261034,0.315,0.15
11,TVP_EG,100,linear,200,0.05465193235909317,0.05147592730215792,0.017263605058571777,0.075,0.03
11,TVP_NG,100,linear,200,0.07237947900172371,0.06466107002498954,0.029128071534392053,0.215,0.125
12,TVP_EG,200,linear,200,0.037950358134309525,0.03610741110947793,0.012969277751427328,0.155,0.03
12,TVP_NG,200,linear,200,0.0681651939280906,0.05846082450386515,0.038450765221555244,0.455,0.235
13,TVP_EG,100,step,200,0.07439249011817006,0.07007794212062335,0.022663842369461628,0.49,0.315
13,TVP_NG,100,step,200,0.11544978389825587,0.11116557723707637,0.038421363070361134,0.725,0.55
14,TVP_EG,200,step,200,0.054653337969294155,0.05427755629553192,0.012681309866908049,0.865,0.475
14,TVP_NG,200,step,200,0.09828355580948232,0.09058532798056333,0.03669489830942022,0.935,0.76
15,TVP_EG,100,random_walk,200,0.06151806163744641,0.0564868585264352,0.02159120769535248,0.235,0.125
15,TVP_NG,100,random_walk,200,0.09288098518847901,0.08141756053442414,0.04607654604976796,0.43,0.29
16,TVP_EG,200,random_walk,200,0.055542481616069374,0.054658342718371215,0.020980535796226156,0.525,0.37
16,TVP_NG,200,random_walk,200,0.0903471600178372,0.0810237625686577,0.05062462654086406,0.66,0.5
